鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
中正區,房地(土地+建物),臺北市中正區?門街99巷31~60號,39.28,住,,,10307,土地1建物1車位0,二層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0570212,110.11,6,0,6,有,無,18900000,171647,,0.0,0
文山區,房地(土地+建物),臺北市文山區忠順街一段61~90號,28.0,住,,,10307,土地1建物1車位0,三層，陽台,004,公寓(5樓含以下無電梯),,鋼筋混凝土造,,77.04,2,1,2,有,無,10500000,136293,,0.0,0
中正區,房地(土地+建物),臺北市中正區和平西路一段31~60號,4.43,商,,,10307,土地2建物1車位0,四層,014,套房(1房1廳1衛),住家用,見其他登記事項,0970513,40.61,1,1,1,有,有,11420000,281212,,0.0,0
文山區,房地(土地+建物)+車位,臺北市文山區忠順街二段85巷1~30號,27.56,住,,,10305,土地1建物1車位2,三層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,235.36,3,2,2,有,有,49950000,230496,坡道平面,40.78,5100000
文山區,房地(土地+建物)+車位,臺北市文山區忠順街二段85巷1~30號,27.56,住,,,10304,土地1建物1車位2,十層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,233.94,3,2,2,有,有,49600000,230379,坡道平面,40.78,5100000
文山區,房地(土地+建物)+車位,臺北市文山區忠順街二段85巷1~30號,21.11,住,,,10305,土地1建物1車位2,十三層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020103,184.62,2,2,2,有,有,38300000,236374,坡道平面,40.78,4300000
文山區,房地(土地+建物),臺北市文山區景豐街1~30號,29.25,住,,,10307,土地2建物1車位0,四層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,92.64,3,2,1,有,無,14400000,155440,,0.0,0
中正區,房地(土地+建物),臺北市中正區牯嶺街121~150號,16.23,住,,,10304,土地2建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730403,81.97999999999999,2,2,2,有,無,12000000,146377,,0.0,0
中正區,房地(土地+建物)+車位,臺北市中正區師大路211~240號,25.15,住,,,10306,土地1建物1車位1,九層,013,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991027,213.54,3,2,3,有,有,40000000,187319,升降機械,24.11,0
文山區,土地,興泰段二小段271~300地號,33.28,住,,,10307,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12563200,377500,,0.0,0
